(i61   YELLOW   SMALL   STRETCH   ADULT   T)
(i62   YELLOW   SMALL   STRETCH   CHILD   T)
(i63   YELLOW   SMALL   DIP   ADULT   T)
(i64   YELLOW   SMALL   DIP   CHILD   T)
(i65   YELLOW   LARGE   STRETCH   ADULT   T)
(i66   YELLOW   LARGE   STRETCH   CHILD   F)
(i67   YELLOW   LARGE   DIP   ADULT   F)
(i68   YELLOW   LARGE   DIP   CHILD   F)
(i69   PURPLE   SMALL   STRETCH   ADULT   T)
(i70   PURPLE   SMALL   STRETCH   CHILD   F)
(i71   PURPLE   SMALL   DIP   ADULT   F)
(i72   PURPLE   SMALL   DIP   CHILD   F)
(i73   PURPLE   LARGE   STRETCH   ADULT   T)
(i74   PURPLE   LARGE   STRETCH   CHILD   F)
(i75   PURPLE   LARGE   DIP   ADULT   F)
(i76   PURPLE   LARGE   DIP   CHILD   F)
