(i21   YELLOW   SMALL   STRETCH   ADULT   T)
(i22   YELLOW   SMALL   STRETCH   CHILD   T)
(i23   YELLOW   SMALL   DIP   ADULT   T)
(i24   YELLOW   SMALL   DIP   CHILD   F)
(i25   YELLOW   SMALL   DIP   CHILD   F)
(i26   YELLOW   LARGE   STRETCH   ADULT   T)
(i27   YELLOW   LARGE   STRETCH   CHILD   T)
(i28   YELLOW   LARGE   DIP   ADULT   T)
(i29   YELLOW   LARGE   DIP   CHILD   F)
(i30   YELLOW   LARGE   DIP   CHILD   F)
(i31   PURPLE   SMALL   STRETCH   ADULT   T)
(i32   PURPLE   SMALL   STRETCH   CHILD   T)
(i33   PURPLE   SMALL   DIP   ADULT   T)
(i34   PURPLE   SMALL   DIP   CHILD   F)
(i35   PURPLE   SMALL   DIP   CHILD   F)
(i36   PURPLE   LARGE   STRETCH   ADULT   T)
(i37   PURPLE   LARGE   STRETCH   CHILD   T)
(i38   PURPLE   LARGE   DIP   ADULT   T)
(i39   PURPLE   LARGE   DIP   CHILD   F)
(i40   PURPLE   LARGE   DIP   CHILD   F)
