(i41   YELLOW   SMALL   STRETCH   ADULT   T)
(i42   YELLOW   SMALL   STRETCH   CHILD   T)
(i43   YELLOW   SMALL   DIP   ADULT   T)
(i44   YELLOW   SMALL   DIP   CHILD   T)
(i45   YELLOW   SMALL   STRETCH   ADULT   T)
(i46   YELLOW   SMALL   STRETCH   CHILD   T)
(i47   YELLOW   SMALL   DIP   ADULT   T)
(i48   YELLOW   SMALL   DIP   CHILD   T)
(i49   YELLOW   LARGE   STRETCH   ADULT   F)
(i50   YELLOW   LARGE   STRETCH   CHILD   F)
(i51   YELLOW   LARGE   DIP   ADULT   F)
(i52   YELLOW   LARGE   DIP   CHILD   F)
(i53   PURPLE   SMALL   STRETCH   ADULT   F)
(i54   PURPLE   SMALL   STRETCH   CHILD   F)
(i55   PURPLE   SMALL   DIP   ADULT   F)
(i56   PURPLE   SMALL   DIP   CHILD   F)
(i57   PURPLE   LARGE   STRETCH   ADULT   F)
(i58   PURPLE   LARGE   STRETCH   CHILD   F)
(i59   PURPLE   LARGE   DIP   ADULT   F)
(i60   PURPLE   LARGE   DIP   CHILD   F)
