(i1   YELLOW   SMALL   STRETCH   ADULT   T)
(i2   YELLOW   SMALL   STRETCH   ADULT   T)
(i3   YELLOW   SMALL   STRETCH   CHILD   F)
(i4   YELLOW   SMALL   DIP   ADULT   F)
(i5   YELLOW   SMALL   DIP   CHILD   F)
(i6   YELLOW   LARGE   STRETCH   ADULT   T)
(i7   YELLOW   LARGE   STRETCH   ADULT   T)
(i8   YELLOW   LARGE   STRETCH   CHILD   F)
(i9   YELLOW   LARGE   DIP   ADULT   F)
(i10   YELLOW   LARGE   DIP   CHILD   F)
(i11   PURPLE   SMALL   STRETCH   ADULT   T)
(i12   PURPLE   SMALL   STRETCH   ADULT   T)
(i13   PURPLE   SMALL   STRETCH   CHILD   F)
(i14   PURPLE   SMALL   DIP   ADULT   F)
(i15   PURPLE   SMALL   DIP   CHILD   F)
(i16   PURPLE   LARGE   STRETCH   ADULT   T)
(i17   PURPLE   LARGE   STRETCH   ADULT   T)
(i18   PURPLE   LARGE   STRETCH   CHILD   F)
(i19   PURPLE   LARGE   DIP   ADULT   F)
(i20   PURPLE   LARGE   DIP   CHILD   F)
